Cast Vote Record,Precinct,Ballot Style,1st Choice Council Member At Large Seat B City of Minnetonka,2nd Choice Council Member At Large Seat B City of Minnetonka,3rd Choice Council Member At Large Seat B City of Minnetonka
163575,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Kimberly Wilburn,undervote,undervote
163576,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Daniel Kral,Jim Hadley,undervote
163577,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Kimberly Wilburn,Ash Patel,undervote
163578,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Ash Patel,Daniel Kral,undervote
163579,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
163580,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Jim Hadley,undervote,undervote
163581,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Jim Hadley,Kimberly Wilburn,Daniel Kral
163582,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Kimberly Wilburn,Stacy Cranbrook,Jim Hadley
163583,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Kimberly Wilburn,Ash Patel,Stacy Cranbrook
163584,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Daniel Kral,undervote,undervote
163585,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Jim Hadley,Kimberly Wilburn,Stacy Cranbrook
163586,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,undervote,undervote,undervote
163587,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,undervote,undervote,undervote
163588,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Stacy Cranbrook,Jim Hadley,Daniel Kral
163589,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Kimberly Wilburn,undervote,undervote
163590,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Kimberly Wilburn,undervote,undervote
163591,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Kimberly Wilburn,undervote,undervote
163592,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Kimberly Wilburn,Daniel Kral,Jim Hadley
163593,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Daniel Kral,Daniel Kral,Daniel Kral
163594,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Ash Patel,undervote,undervote
163595,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Ash Patel,undervote
163596,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Daniel Kral,Jim Hadley,undervote
163597,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Ash Patel,Daniel Kral,Kimberly Wilburn
163598,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Ash Patel,Stacy Cranbrook
163600,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Ash Patel,Daniel Kral,Jim Hadley
163601,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,Ash Patel,Kimberly Wilburn
163602,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,Daniel Kral,Jim Hadley
163603,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Jim Hadley,Daniel Kral,Stacy Cranbrook
163604,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,Ash Patel,Daniel Kral
163605,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,undervote,undervote,undervote
163606,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Jim Hadley,Jim Hadley,Jim Hadley
163607,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Stacy Cranbrook,Ash Patel
163608,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Daniel Kral,Stacy Cranbrook,Jim Hadley
163609,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Daniel Kral,undervote,undervote
163611,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Daniel Kral,Ash Patel,Daniel Kral
163612,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Stacy Cranbrook,Ash Patel
163613,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,undervote,undervote
163614,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Jim Hadley,Stacy Cranbrook,Kimberly Wilburn
163615,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Ash Patel,undervote
163616,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Kimberly Wilburn,Kimberly Wilburn
163619,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,undervote,undervote
163620,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,Kimberly Wilburn,Ash Patel
163621,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Jim Hadley,Ash Patel,Stacy Cranbrook
163622,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,undervote,undervote,undervote
163623,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Jim Hadley,Kimberly Wilburn,Stacy Cranbrook
163624,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Ash Patel,undervote
163625,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,undervote,undervote,undervote
163626,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Kimberly Wilburn,Ash Patel
163628,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,undervote,undervote
163630,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,undervote,undervote,undervote
163631,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,Daniel Kral,Kimberly Wilburn
163632,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,undervote,undervote,undervote
163634,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Jim Hadley,Daniel Kral,Ash Patel
163635,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Jim Hadley,undervote,undervote
163636,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,undervote,undervote
163637,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,Ash Patel,undervote
163638,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Ash Patel,Stacy Cranbrook,undervote
163639,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,Daniel Kral,Jim Hadley
163640,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Jim Hadley,Daniel Kral,Stacy Cranbrook
163641,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,Kimberly Wilburn,undervote
163642,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,undervote,undervote
163643,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,Stacy Cranbrook,Stacy Cranbrook
163644,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Ash Patel,Kimberly Wilburn,Daniel Kral
163645,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Jim Hadley,undervote,undervote
163646,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,Kimberly Wilburn,Daniel Kral
163647,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Jim Hadley,Kimberly Wilburn,Stacy Cranbrook
163648,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Stacy Cranbrook,Jim Hadley
163649,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,undervote,undervote
163650,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Daniel Kral,Jim Hadley,Daniel Kral
163653,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,undervote,undervote
163654,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,Daniel Kral,Jim Hadley
163655,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,Daniel Kral,Jim Hadley
163656,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Jim Hadley,Daniel Kral,Stacy Cranbrook
163657,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,Daniel Kral,Jim Hadley
163658,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Ash Patel,undervote
163660,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Kimberly Wilburn,Kimberly Wilburn
163661,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Jim Hadley,Jim Hadley,Jim Hadley
163662,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Daniel Kral,undervote,undervote
163663,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,Kimberly Wilburn,Jim Hadley
163664,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Daniel Kral,Jim Hadley,undervote
163665,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Daniel Kral,Jim Hadley,Kimberly Wilburn
163667,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Ash Patel,Stacy Cranbrook
163668,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Daniel Kral,Stacy Cranbrook,Jim Hadley
163669,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Ash Patel,Stacy Cranbrook
163670,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Jim Hadley,Stacy Cranbrook,Kimberly Wilburn
163671,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Daniel Kral,Daniel Kral,Daniel Kral
163672,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Ash Patel,undervote
163673,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,Stacy Cranbrook,Stacy Cranbrook
163674,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Ash Patel,Kimberly Wilburn,Stacy Cranbrook
163676,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Stacy Cranbrook,Jim Hadley
163677,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,Jim Hadley,Daniel Kral
163678,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,undervote,undervote
163679,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Ash Patel,undervote
163680,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Jim Hadley,Daniel Kral,Stacy Cranbrook
163681,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Stacy Cranbrook,Daniel Kral
163682,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Ash Patel,Kimberly Wilburn,undervote
163683,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Stacy Cranbrook,Ash Patel
163684,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Ash Patel,Ash Patel,Ash Patel
163685,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,Kimberly Wilburn,Ash Patel
163686,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Ash Patel,Kimberly Wilburn
163688,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Daniel Kral,Jim Hadley,undervote
163689,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Jim Hadley,Stacy Cranbrook
163690,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,Kimberly Wilburn,Jim Hadley
163691,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,,undervote
163692,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Daniel Kral,Stacy Cranbrook,Ash Patel
163693,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Ash Patel,undervote
163694,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Daniel Kral,Jim Hadley,Ash Patel
163695,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,overvote,undervote,undervote
163696,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,undervote,undervote
163698,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,undervote,undervote,undervote
163699,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Kimberly Wilburn,Kimberly Wilburn
163700,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Ash Patel,Ash Patel
163702,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,undervote,undervote,undervote
163703,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Ash Patel,Kimberly Wilburn,undervote
163705,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Stacy Cranbrook,Jim Hadley
163706,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Jim Hadley,undervote,undervote
163707,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,Daniel Kral,Jim Hadley
163708,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Ash Patel,Kimberly Wilburn,Stacy Cranbrook
163709,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Ash Patel,undervote
163710,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Ash Patel,undervote,undervote
163711,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,Kimberly Wilburn,Stacy Cranbrook
163712,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Jim Hadley,Jim Hadley,Jim Hadley
163713,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Stacy Cranbrook,Daniel Kral
163714,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Ash Patel,undervote
163715,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,undervote,undervote,undervote
163716,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Daniel Kral,Daniel Kral,Daniel Kral
163717,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Ash Patel,undervote
163718,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Daniel Kral,Jim Hadley,undervote
163719,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,undervote,undervote
163720,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,undervote,undervote
163721,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,Stacy Cranbrook,Stacy Cranbrook
163722,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Ash Patel,Stacy Cranbrook,Kimberly Wilburn
163723,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Ash Patel,undervote
163724,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,undervote,undervote
163725,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Jim Hadley,Stacy Cranbrook,Kimberly Wilburn
163726,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Daniel Kral,Kimberly Wilburn,Stacy Cranbrook
163727,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Stacy Cranbrook,Ash Patel
163728,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Daniel Kral,Stacy Cranbrook,Jim Hadley
163729,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,Stacy Cranbrook,Stacy Cranbrook
163730,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,undervote,undervote
163731,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,undervote,undervote
163732,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,Kimberly Wilburn,Stacy Cranbrook
163734,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Stacy Cranbrook,Ash Patel
163735,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,Kimberly Wilburn,Ash Patel
163736,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Jim Hadley,Stacy Cranbrook,Daniel Kral
163737,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Ash Patel,Stacy Cranbrook,Ash Patel
163738,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Ash Patel,undervote,undervote
163739,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Jim Hadley,undervote,undervote
163741,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Daniel Kral,Jim Hadley,Ash Patel
163743,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Ash Patel,undervote,undervote
163744,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,Daniel Kral,Daniel Kral
163745,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,Kimberly Wilburn,Ash Patel
163746,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Ash Patel,undervote
163747,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Stacy Cranbrook,Jim Hadley
163748,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Ash Patel,undervote
163749,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Ash Patel,undervote,undervote
163750,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,undervote,undervote,undervote
163752,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Kimberly Wilburn,Kimberly Wilburn
163753,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,Kimberly Wilburn,Ash Patel
163754,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,Daniel Kral,Jim Hadley
163755,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Ash Patel,Kimberly Wilburn,undervote
163756,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Ash Patel,Stacy Cranbrook,Kimberly Wilburn
163758,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,undervote,undervote
163759,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Ash Patel,Jim Hadley
163760,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Ash Patel,undervote
163761,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,Daniel Kral,Jim Hadley
163762,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,undervote,undervote,undervote
163763,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Stacy Cranbrook,Jim Hadley
163764,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,undervote,undervote
163765,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Jim Hadley,Daniel Kral
163766,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,Kimberly Wilburn,undervote
163767,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Daniel Kral,Ash Patel,Kimberly Wilburn
163768,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Daniel Kral,Jim Hadley,Stacy Cranbrook
163770,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,undervote,undervote,undervote
163771,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Ash Patel,Stacy Cranbrook
163772,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Ash Patel,undervote
163773,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,undervote,undervote,undervote
163774,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,undervote,undervote
163777,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,undervote,undervote
163778,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Kimberly Wilburn,Kimberly Wilburn
163779,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Kimberly Wilburn,Kimberly Wilburn
163781,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Ash Patel,Stacy Cranbrook,Daniel Kral
163782,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,Ash Patel,Daniel Kral
163783,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Stacy Cranbrook,Stacy Cranbrook
163784,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Jim Hadley,Stacy Cranbrook,undervote
163786,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,undervote,undervote
163788,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Ash Patel,Stacy Cranbrook
163789,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Stacy Cranbrook,undervote
163790,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,undervote,undervote,undervote
163791,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Kimberly Wilburn,Kimberly Wilburn
163792,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Daniel Kral,Daniel Kral,Daniel Kral
163793,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Ash Patel,Stacy Cranbrook
163794,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,undervote,undervote,undervote
163795,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,undervote,undervote
163796,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Daniel Kral,undervote,undervote
163797,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Stacy Cranbrook,Daniel Kral,Jim Hadley
163798,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Daniel Kral,Stacy Cranbrook
163799,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Stacy Cranbrook,Jim Hadley,Daniel Kral
163800,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,undervote,undervote
163801,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Ash Patel,undervote
163802,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,undervote,undervote,undervote
163803,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Ash Patel,undervote
163804,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Ash Patel,undervote
163805,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Daniel Kral,undervote,undervote
163806,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Jim Hadley,Stacy Cranbrook,Daniel Kral
163807,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Daniel Kral,Stacy Cranbrook,Jim Hadley
163808,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Daniel Kral,Jim Hadley,Stacy Cranbrook
163809,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Stacy Cranbrook,Daniel Kral,Jim Hadley
163810,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Stacy Cranbrook,Jim Hadley,Ash Patel
163811,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Jim Hadley,Daniel Kral,Stacy Cranbrook
163812,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Stacy Cranbrook,Daniel Kral
163813,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Jim Hadley,Daniel Kral,Stacy Cranbrook
163814,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Ash Patel,undervote,undervote
163815,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,undervote,undervote,undervote
163816,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Stacy Cranbrook,Daniel Kral
163817,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Jim Hadley,undervote,undervote
163818,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,undervote,undervote
163819,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Daniel Kral,undervote,undervote
163820,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Jim Hadley,Daniel Kral,undervote
163821,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Jim Hadley,Ash Patel,Daniel Kral
163822,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Jim Hadley,Kimberly Wilburn,undervote
163823,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Ash Patel,undervote,undervote
163824,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Stacy Cranbrook,Jim Hadley
163825,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Daniel Kral,undervote,undervote
163826,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Stacy Cranbrook,Jim Hadley
163827,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,undervote,undervote
163828,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Ash Patel,Kimberly Wilburn,undervote
163829,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Jim Hadley,undervote,undervote
163830,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,undervote,undervote
163831,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Daniel Kral,undervote
163832,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Jim Hadley,undervote
163833,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Ash Patel,Daniel Kral,undervote
163834,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,undervote,undervote
163835,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Daniel Kral,Ash Patel,undervote
163836,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Stacy Cranbrook,Daniel Kral,Jim Hadley
163837,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Ash Patel,undervote,undervote
163838,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Ash Patel,Daniel Kral
163839,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Jim Hadley,Ash Patel
163840,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Stacy Cranbrook,Daniel Kral,undervote
163841,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,undervote,undervote,undervote
163842,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Jim Hadley,Ash Patel
163843,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Daniel Kral,Ash Patel,Jim Hadley
163844,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Daniel Kral,Stacy Cranbrook,Jim Hadley
163845,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Stacy Cranbrook,Jim Hadley
163846,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Jim Hadley,Kimberly Wilburn,Daniel Kral
163847,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Daniel Kral,Stacy Cranbrook,Jim Hadley
